size,repetitions,nthreads,usec_pthread,usec_pthread_avg,speedup_pthread,usec_openmp,usec_openmp_avg,speedup_openmp
1000000,1000,1,5212405,"5211258,4","1,63547915594002",5210377,"5207980,6","1,70709704640299"
1000000,1000,1,5214665,,,5207854,,
1000000,1000,1,5210781,,,5208128,,
1000000,1000,1,5208970,,,5208153,,
1000000,1000,1,5209471,,,5205391,,
1000000,2000,1,10418332,"10413849,6","1,63389852122988",10418131,"10411852,8","1,7410478159156"
1000000,2000,1,10417198,,,10416104,,
1000000,2000,1,10411866,,,10409971,,
1000000,2000,1,10409523,,,10411440,,
1000000,2000,1,10412329,,,10403618,,
1000000,3000,1,15608821,"15637906,6","1,63575600726038",15603210,"15608534,6","1,74014773758552"
1000000,3000,1,15642243,,,15614891,,
1000000,3000,1,15649544,,,15601963,,
1000000,3000,1,15644276,,,15631982,,
1000000,3000,1,15644649,,,15590627,,
500000,1000,2,3187323,"3186380,2",,3020998,"3050781,8",
500000,1000,2,3193293,,,2947830,,
500000,1000,2,3184337,,,3101349,,
500000,1000,2,3190069,,,3115041,,
500000,1000,2,3176879,,,3068691,,
500000,2000,2,6352806,"6373620,8",,6069999,"5980222,2",
500000,2000,2,6346665,,,5856501,,
500000,2000,2,6394424,,,6150802,,
500000,2000,2,6388639,,,5908573,,
500000,2000,2,6385570,,,5915236,,
500000,3000,2,9535020,"9560048,4",,9143741,"8969660,6",
500000,3000,2,9590611,,,9149235,,
500000,3000,2,9531052,,,8733567,,
500000,3000,2,9589146,,,8790228,,
500000,3000,2,9554413,,,9031532,,
10000000,1000,1,52087308,"52095702,2","1,64712480732109",52028037,52022620,"1,66472868768994"
10000000,1000,1,52073878,,,52078793,,
10000000,1000,1,52109499,,,52002302,,
10000000,1000,1,52135676,,,52009654,,
10000000,1000,1,52072150,,,51994314,,
10000000,2000,1,104225500,"103495620,6","1,63156261761049",104064920,104134484,"1,67277692018209"
10000000,2000,1,103312547,,,104246076,,
10000000,2000,1,103301149,,,104179221,,
10000000,2000,1,103324652,,,104093575,,
10000000,2000,1,103314255,,,104088628,,
10000000,3000,1,154915876,"155981663,6","1,6419082387083",155877394,"155779086,8","1,6634382143647"
10000000,3000,1,156364583,,,155962854,,
10000000,3000,1,156200522,,,156181591,,
10000000,3000,1,156253258,,,155858698,,
10000000,3000,1,156174079,,,155014897,,
5000000,1000,2,31273365,"31628266,4",,31171994,31249909,
5000000,1000,2,31788492,,,31266813,,
5000000,1000,2,31691706,,,31274792,,
5000000,1000,2,31718456,,,31287033,,
5000000,1000,2,31669313,,,31248913,,
5000000,2000,2,63447423,"63433434,6",,62865302,"62252463,4",
5000000,2000,2,63330657,,,62996424,,
5000000,2000,2,63524413,,,59446008,,
5000000,2000,2,63553862,,,62929154,,
5000000,2000,2,63310818,,,63025429,,
5000000,3000,2,95094745,95000232,,93643857,"93648856,6",
5000000,3000,2,94994397,,,94127551,,
5000000,3000,2,95068276,,,94521895,,
5000000,3000,2,94897645,,,90802885,,
5000000,3000,2,94946097,,,95148095,,
20000000,1000,1,103941353,"104056682,2","1,66801436992589",104031700,"103936022,6","1,66088060133683"
20000000,1000,1,104101602,,,103981567,,
20000000,1000,1,104075961,,,103913581,,
20000000,1000,1,104068622,,,103899581,,
20000000,1000,1,104095873,,,103853684,,
20000000,2000,1,208265506,"207773847,4","1,66451181442231",207202383,"208203899,2","1,67149820847408"
20000000,2000,1,206709511,,,207915450,,
20000000,2000,1,208129923,,,207949137,,
20000000,2000,1,207906003,,,208306848,,
20000000,2000,1,207858294,,,209645678,,
20000000,3000,1,309428728,"310898892,2","1,66129984679822",313822532,"313503356,6","1,67704605623503"
20000000,3000,1,310424118,,,313947414,,
20000000,3000,1,312244144,,,313620318,,
20000000,3000,1,311897252,,,314071058,,
20000000,3000,1,310500219,,,312055461,,
10000000,1000,2,62367714,"62383564,6",,62663379,"62578864,8",
10000000,1000,2,62407817,,,63022945,,
10000000,1000,2,62324144,,,62700897,,
10000000,1000,2,62413543,,,62809446,,
10000000,1000,2,62404605,,,61697657,,
10000000,2000,2,125056598,124825697,,125782250,"124561245,8",
10000000,2000,2,124800860,,,119488967,,
10000000,2000,2,124742660,,,125790113,,
10000000,2000,2,124734477,,,125714657,,
10000000,2000,2,124793890,,,126030242,,
10000000,3000,2,187092967,"187141949,6",,179966359,"186937833,6",
10000000,3000,2,187072573,,,188785645,,
10000000,3000,2,187228400,,,188061738,,
10000000,3000,2,187111356,,,189035631,,
10000000,3000,2,187204452,,,188839795,,
