mbps,us,vetor,np,media
125,5,100,1,31637609.3
125,5,100,2,37242741.2
125,5,100,4,34612818.8
125,5,100,8,33859294.2
125,5,100,16,47104026.6
125,5,100,32,53022576.4
125,5,100,64,87584129.1
125,5,100,128,103507416
125,10,100,1,33916445.6
125,10,100,2,34584830.2
125,10,100,4,37535322
125,10,100,8,36584628.3
125,10,100,16,43226941.3
125,10,100,32,56292733
125,10,100,64,76373552.9
125,10,100,128,100213949.8
125,15,100,1,36032216.9
125,15,100,2,33097635.8
125,15,100,4,40373732.7
125,15,100,8,45163011
125,15,100,16,48886632.3
125,15,100,32,63095795.3
125,15,100,64,82460288.3
125,15,100,128,128989290.7
250,5,100,1,35805117.4
250,5,100,2,35472213.4
250,5,100,4,34532471.1
250,5,100,8,38177818.1
250,5,100,16,42318057.8
250,5,100,32,51244181.1
250,5,100,64,65667547.5
250,5,100,128,107861303.6
250,10,100,1,34863396.6
250,10,100,2,33311137.6
250,10,100,4,33499862.5
250,10,100,8,34816692
250,10,100,16,39127860.2
250,10,100,32,56319843.8
250,10,100,64,67125688.4
250,10,100,128,129647813.3
250,15,100,1,31662415.7
250,15,100,2,30335794.1
250,15,100,4,29408742.9
250,15,100,8,35356946.3
250,15,100,16,43978744.9
250,15,100,32,45876982.3
250,15,100,64,65778215.2
250,15,100,128,96807551.7
125,5,1000,1,29455350.3
125,5,1000,2,38891433.5
125,5,1000,4,37131821.1
125,5,1000,8,34559687.7
125,5,1000,16,47547520.2
125,5,1000,32,52373906.9
125,5,1000,64,73347479.1
125,5,1000,128,118209082.5
125,10,1000,1,33718199.7
125,10,1000,2,38874878
125,10,1000,4,44742664.5
125,10,1000,8,40210781.7
125,10,1000,16,44236910.8
125,10,1000,32,53623704
125,10,1000,64,79365593
125,10,1000,128,112846811.9
125,15,1000,1,36390235.6
125,15,1000,2,37346705.9
125,15,1000,4,32540706.9
125,15,1000,8,41918224.3
125,15,1000,16,47364426.1
125,15,1000,32,55494427
125,15,1000,64,82634791.5
125,15,1000,128,127776602.8
250,5,1000,1,31114151.1
250,5,1000,2,30072583.3
250,5,1000,4,30777699.1
250,5,1000,8,35586966
250,5,1000,16,37827613.1
250,5,1000,32,49928629.2
250,5,1000,64,61081653.9
250,5,1000,128,126708907
250,10,1000,1,28304100.2
250,10,1000,2,38788690.9
250,10,1000,4,44468016.8
250,10,1000,8,42377038.2
250,10,1000,16,41083054.5
250,10,1000,32,54485274.9
250,10,1000,64,67531305
250,10,1000,128,106423308.6
250,15,1000,1,25957596.4
250,15,1000,2,28593573.8
250,15,1000,4,34875749.6
250,15,1000,8,33273293.8
250,15,1000,16,41895965.2
250,15,1000,32,49041404.4
250,15,1000,64,65515287
250,15,1000,128,93236642.9
125,5,3000,1,30226077
125,5,3000,2,33330427.9
125,5,3000,4,36699109.9
125,5,3000,8,38092383.3
125,5,3000,16,41313806.6
125,5,3000,32,56953024.1
125,5,3000,64,71792871.8
125,5,3000,128,140557018.7
125,10,3000,1,32430117.4
125,10,3000,2,35822441.4
125,10,3000,4,39900883.8
125,10,3000,8,34985809.7
125,10,3000,16,45922319.7
125,10,3000,32,58579887.2
125,10,3000,64,73088464.4
125,10,3000,128,115854915.5
125,15,3000,1,33600740.7
125,15,3000,2,37472535.6
125,15,3000,4,39338714.9
125,15,3000,8,45845027.7
125,15,3000,16,45280102.1
125,15,3000,32,57711221.6
125,15,3000,64,74676576.7
125,15,3000,128,112442525.7
250,5,3000,1,31569714.2
250,5,3000,2,29007826.9
250,5,3000,4,33434762
250,5,3000,8,36766558.8
250,5,3000,16,38427550.7
250,5,3000,32,62054563.9
250,5,3000,64,72442113.7
250,5,3000,128,119810677.2
250,10,3000,1,28806305.3
250,10,3000,2,32625535.3
250,10,3000,4,33136450.2
250,10,3000,8,34839676.4
250,10,3000,16,40397264.1
250,10,3000,32,48972015.9
250,10,3000,64,81483404.9
250,10,3000,128,122043390.5
250,15,3000,1,26014714.4
250,15,3000,2,28169718.8
250,15,3000,4,31019446.2
250,15,3000,8,39739863.9
250,15,3000,16,40933816.7
250,15,3000,32,49815287.5
250,15,3000,64,67469929.4
250,15,3000,128,114957823.3
